"animal","date","assay","amount","dpi"
"rh2809",2019-12-19,"Lanciotti_ZIKV_universal",0,86
"rh2809",2019-12-23,"Lanciotti_ZIKV_universal",0,90
"rh2809",2020-01-02,"Lanciotti_ZIKV_universal",0,100
"rh2809",2020-01-09,"Lanciotti_ZIKV_universal",0,107
"rh2818",2019-09-23,"Lanciotti_ZIKV_universal",0,0
"rh2818",2019-09-25,"Lanciotti_ZIKV_universal",198333.33,2
"rh2818",2019-09-26,"Lanciotti_ZIKV_universal",43416.664,3
"rh2818",2019-09-27,"Lanciotti_ZIKV_universal",40925,4
"rh2818",2019-09-28,"Lanciotti_ZIKV_universal",3967.5,5
"rh2818",2019-09-29,"Lanciotti_ZIKV_universal",1953.75,6
"rh2818",2019-09-30,"Lanciotti_ZIKV_universal",153.73334,7
"rh2818",2019-10-01,"Lanciotti_ZIKV_universal",93.475,8
"rh2818",2019-10-02,"Lanciotti_ZIKV_universal",58.508335,9
"rh2818",2019-10-03,"Lanciotti_ZIKV_universal",23.944166,10
"rh2818",2019-10-07,"Lanciotti_ZIKV_universal",0,14
"rh2818",2019-10-10,"Lanciotti_ZIKV_universal",0,17
"rh2818",2019-10-17,"Lanciotti_ZIKV_universal",0,24
"rhbc48",2019-11-04,"Lanciotti_ZIKV_universal",0,0
"rhbc48",2019-11-05,"Lanciotti_ZIKV_universal",513.3333,1
"rhbc48",2019-11-06,"Lanciotti_ZIKV_universal",35250,2
"rhbc48",2019-11-07,"Lanciotti_ZIKV_universal",151416.67,3
"rhbc48",2019-11-08,"Lanciotti_ZIKV_universal",8267.857,4
"rhbc48",2019-11-09,"Lanciotti_ZIKV_universal",47583.332,5
"rhbc48",2019-11-10,"Lanciotti_ZIKV_universal",6466.6665,6
"rhbc48",2019-11-11,"Lanciotti_ZIKV_universal",5300,7
"rhbc48",2019-11-12,"Lanciotti_ZIKV_universal",1725,8
"rhbc48",2019-11-14,"Lanciotti_ZIKV_universal",6650,10
"rhbc48",2019-11-18,"Lanciotti_ZIKV_universal",385,14
"rhbc48",2019-11-21,"Lanciotti_ZIKV_universal",1664.1666,17
"rhbc48",2019-11-25,"Lanciotti_ZIKV_universal",351.66666,21
"rhbc48",2019-11-27,"Lanciotti_ZIKV_universal",519.1667,23
"rhbc48",2019-12-02,"Lanciotti_ZIKV_universal",610,28
"rhbc48",2019-12-05,"Lanciotti_ZIKV_universal",111.75,31
"rhbc48",2019-12-19,"Lanciotti_ZIKV_universal",0,45
"rhbc48",2019-12-23,"Lanciotti_ZIKV_universal",0,49
"rhbc48",2020-01-02,"Lanciotti_ZIKV_universal",0,59
"rhbc48",2020-01-09,"Lanciotti_ZIKV_universal",0,66
"rhbc48",2020-01-16,"Lanciotti_ZIKV_universal",0,73
"rhbc48",2020-01-23,"Lanciotti_ZIKV_universal",0,80
"rhbc48",2020-01-30,"Lanciotti_ZIKV_universal",0,87
"rhbc48",2020-02-06,"Lanciotti_ZIKV_universal",0,94
"rhbc48",2020-02-13,"Lanciotti_ZIKV_universal",0,101
"rhbc48",2020-02-20,"Lanciotti_ZIKV_universal",0,108
"rhbd23",2020-02-05,"Lanciotti_ZIKV_universal",0,0
"rhbd23",2020-02-06,"Lanciotti_ZIKV_universal",224.10715,1
